date,open,high,low,close,volume
2021-01-04 13:45:00,993.82,1013.52,984.55,1011.92,36752.13608
2021-01-04 14:00:00,1012.56,1031.0,1001.55,1002.92,64299.60663
2021-01-04 14:15:00,1003.11,1022.88,1003.08,1019.55,42435.44701
2021-01-04 14:30:00,1019.55,1028.0,1010.88,1023.61,39211.33082
2021-01-04 14:45:00,1023.62,1045.0,1017.27,1043.25,51264.92907
2021-01-04 15:00:00,1043.26,1046.98,1030.82,1034.96,47639.62257
2021-01-04 15:15:00,1034.76,1058.16,1033.87,1056.52,48855.19759
2021-01-04 15:30:00,1056.51,1056.51,1039.09,1051.23,50407.15573
2021-01-04 15:45:00,1051.12,1051.12,1027.03,1040.01,42152.39451
2021-01-04 16:00:00,1040.0,1048.0,988.58,999.48,92445.19821
2021-01-04 16:15:00,999.47,1014.71,982.05,1004.19,76212.38666
2021-01-04 16:30:00,1004.72,1005.48,984.73,1001.56,49671.21036
2021-01-04 16:45:00,1001.56,1015.46,997.92,1010.15,26728.58702
2021-01-04 17:00:00,1010.29,1026.56,998.61,999.63,38755.31382
2021-01-04 17:15:00,999.64,1010.27,993.12,1001.22,32448.50797
2021-01-04 17:30:00,1001.22,1007.33,992.43,994.65,23923.86512
2021-01-04 17:45:00,994.83,1001.82,985.55,999.47,25593.93698
2021-01-04 18:00:00,999.47,1018.11,998.92,1014.42,26159.28872
2021-01-04 18:15:00,1014.42,1023.0,1004.65,1022.77,20724.97828
2021-01-04 18:30:00,1022.83,1025.0,1012.72,1021.35,17678.13487
2021-01-04 18:45:00,1021.31,1025.68,1009.06,1015.19,20141.18606
2021-01-04 19:00:00,1015.09,1023.0,1011.41,1014.13,17719.92278
2021-01-04 19:15:00,1014.36,1025.68,1013.0,1025.04,14062.53757
2021-01-04 19:30:00,1025.04,1048.0,1024.74,1039.59,37906.26283
2021-01-04 19:45:00,1039.92,1044.88,1035.01,1042.28,20824.92869
2021-01-04 20:00:00,1042.16,1049.7,1027.59,1037.02,24746.89193
2021-01-04 20:15:00,1037.02,1048.75,1033.08,1036.37,18565.93375
2021-01-04 20:30:00,1036.38,1040.3,1026.22,1031.45,14562.70557
2021-01-04 20:45:00,1031.44,1037.27,1017.46,1019.69,17723.82762
2021-01-04 21:00:00,1019.69,1035.59,1019.69,1034.88,14988.82188
2021-01-04 21:15:00,1035.04,1036.7,996.0,1006.04,30092.81775
2021-01-04 21:30:00,1006.16,1012.5,992.7,996.38,26425.08579
2021-01-04 21:45:00,996.44,1011.57,993.17,1006.19,20935.83026
2021-01-04 22:00:00,1006.18,1014.22,1003.2,1009.87,7794.86698
2021-01-04 22:15:00,1009.71,1017.9,1009.52,1017.0,5917.39478
2021-01-04 22:30:00,1016.99,1022.98,1008.39,1022.53,8332.98575
2021-01-04 22:45:00,1022.53,1024.0,1009.29,1012.72,8126.37058
2021-01-04 23:00:00,1012.72,1013.76,1001.09,1006.14,11628.09655
2021-01-04 23:15:00,1006.15,1026.78,1002.14,1023.61,23117.91723
2021-01-04 23:30:00,1023.66,1041.77,1017.72,1040.82,25651.62156
2021-01-04 23:45:00,1040.66,1046.54,1034.51,1041.43,24772.409
2021-01-05 00:00:00,1041.45,1097.0,1041.45,1090.74,75693.24516
2021-01-05 00:15:00,1090.98,1099.49,1077.94,1090.76,49417.51971
2021-01-05 00:30:00,1090.75,1131.22,1087.29,1131.1,63302.8028
2021-01-05 00:45:00,1131.09,1134.6,1082.0,1095.03,68999.25832
2021-01-05 01:00:00,1095.14,1118.1,1083.36,1090.71,44186.85913
2021-01-05 01:15:00,1090.43,1092.59,1061.92,1092.46,50676.45215
2021-01-05 01:30:00,1092.59,1109.5,1090.0,1090.95,38996.24088
2021-01-05 01:45:00,1090.46,1115.0,1080.0,1114.52,50832.87665
2021-01-05 02:00:00,1114.46,1116.72,1092.13,1099.28,26982.87572
2021-01-05 02:15:00,1099.35,1104.86,1083.91,1089.6,24778.24047
2021-01-05 02:30:00,1089.55,1091.46,1068.18,1076.85,39709.69401
2021-01-05 02:45:00,1076.86,1086.35,1071.58,1078.45,23127.02102
2021-01-05 03:00:00,1078.47,1087.32,1069.01,1084.06,29244.3717
2021-01-05 03:15:00,1084.14,1086.99,1041.0,1047.12,47861.02977
2021-01-05 03:30:00,1047.13,1058.28,1016.64,1027.3,53402.48566
2021-01-05 03:45:00,1027.24,1030.3,995.0,1001.76,66581.33279
2021-01-05 04:00:00,1001.75,1022.66,986.0,993.74,62196.32768
2021-01-05 04:15:00,993.8,1024.31,988.73,1013.23,45615.1661
2021-01-05 04:30:00,1013.24,1030.81,1011.48,1025.69,37652.67603
2021-01-05 04:45:00,1025.49,1030.78,1000.0,1004.1,30730.9548
2021-01-05 05:00:00,1004.05,1024.46,1003.98,1011.36,26048.45413
2021-01-05 05:15:00,1011.36,1016.59,994.0,1007.75,38979.18922
2021-01-05 05:30:00,1007.92,1018.91,1000.45,1003.51,23773.91498
2021-01-05 05:45:00,1003.51,1006.4,974.45,989.83,69500.74829
2021-01-05 06:00:00,989.9,1010.0,979.03,985.47,48146.29297
2021-01-05 06:15:00,985.35,1004.47,984.77,1002.1,25837.36249
2021-01-05 06:30:00,1002.1,1018.0,1001.35,1012.91,34591.23118
2021-01-05 06:45:00,1012.93,1022.41,1011.61,1015.15,20839.73991
2021-01-05 07:00:00,1015.16,1025.0,1005.72,1013.41,19383.50784
2021-01-05 07:15:00,1013.35,1020.0,1008.23,1016.02,11966.57303
2021-01-05 07:30:00,1016.02,1016.02,1003.36,1011.61,15570.83573
2021-01-05 07:45:00,1011.49,1012.89,1000.93,1003.45,14238.51028
2021-01-05 08:00:00,1003.52,1036.36,1003.51,1033.67,37666.57135
2021-01-05 08:15:00,1033.71,1044.71,1028.53,1028.83,33867.23855
2021-01-05 08:30:00,1028.81,1037.46,1019.15,1020.69,19148.31149
